1,B1642-03,J1645-0317,46515.00,14.114,26.062,24.417,20.033,0.387690,46515.00,-2.30,2.91,1.28,3.33e+03,1.78e+02,1.78e-15
2,B1933+16,J1935+1616,52275.00,52.436,-2.093,-8.503,-8.472,0.358738,46434.00,-1.40,3.70,-0.14,3.31e+03,5.75e+02,6.00e-15
3,B1541+09,J1543+0929,52275.00,17.811,45.775,-5.055,6.476,0.748448,48716.00,-2.10,5.90,4.23,2.72e+03,2.05e+02,4.32e-16
4,B1826-17,J1829-1751,49878.00,14.604,-3.418,-121.149,-88.523,0.307133,49878.00,-1.60,5.49,-0.33,2.35e+03,2.32e+02,5.46e-15
5,B2255+58,J2257+5909,50085.00,108.831,-0.575,-17.485,-2.369,0.368246,50085.00,-0.80,3.00,-0.03,2.27e+03,8.28e+01,5.75e-15
6,B2319+60,J2321+6024,49303.00,112.095,-0.566,-15.417,-0.259,2.256488,49303.00,-1.00,2.70,-0.03,2.21e+03,8.75e+01,7.03e-15
7,B0531+21,J0534+2200,40675.00,184.558,-5.784,-10.560,-10.764,0.033085,40000.00,-3.10,2.00,-0.20,2.20e+03,5.60e+01,4.23e-13
8,B1834-10,J1836-1008,48880.00,22.263,-1.415,21.946,-10.293,0.562711,48880.00,-2.10,5.39,-0.13,1.57e+03,1.07e+02,1.18e-14
9,B0559-05,J0601-0527,49379.00,212.199,-13.481,22.941,8.677,0.395969,49379.00,-1.80,7.54,-1.76,1.29e+03,1.42e+02,1.30e-15
10,B1911-04,J1913-0440,46634.00,31.307,-7.124,1.576,-8.341,0.825936,46634.00,-2.60,3.22,-0.40,1.22e+03,4.56e+01,4.07e-15
11,B0740-28,J0742-2822,49326.00,243.773,-2.444,-13.659,-22.638,0.166762,49326.00,-2.00,2.00,-0.09,1.18e+03,6.00e+01,1.68e-14
12,B1907+10,J1909+1102,49912.00,44.832,0.992,1.140,8.128,0.283641,54200.00,-2.50,4.80,0.08,1.15e+03,4.38e+01,2.64e-15
13,B1913+10,J1915+1009,53300.00,44.707,-0.651,7.806,-6.199,0.404547,54348.00,-1.90,7.00,-0.08,1.13e+03,6.37e+01,1.53e-14
14,B1900+06,J1902+0615,53390.00,39.814,0.336,11.419,-1.803,0.673503,54400.00,-1.70,7.00,0.04,1.08e+03,5.39e+01,7.71e-15
15,B1915+13,J1917+1353,49763.00,48.260,0.624,0.038,-2.492,0.194631,49763.00,-1.80,5.00,0.05,1.08e+03,4.75e+01,7.20e-15
16,B2106+44,J2108+4441,48736.00,86.909,-2.012,7.977,-1.298,0.414871,48736.00,-1.30,5.28,-0.19,1.03e+03,1.51e+02,8.61e-17
17,B1821-19,J1824-1945,49877.00,12.279,-3.106,-93.016,-35.633,0.189335,49877.00,-2.00,3.70,-0.20,9.72e+02,6.71e+01,5.21e-15
18,B2053+36,J2055+3630,52275.00,79.133,-5.589,3.832,-1.987,0.221508,49361.00,-1.90,5.00,-0.49,9.38e+02,6.50e+01,3.69e-16
19,B2154+40,J2157+4017,52275.00,90.488,-11.341,19.653,-6.069,1.525266,49277.00,-1.50,2.90,-0.57,8.83e+02,1.43e+02,3.43e-15
20,B2227+61,J2229+6205,49840.00,107.154,3.645,-2.330,10.192,0.443055,49840.00,-2.50,5.70,0.36,8.09e+02,2.60e+01,2.25e-15
21,B2111+46,J2113+4644,46614.00,89.003,-1.266,-11.714,-6.777,1.014685,46614.00,-2.00,4.00,-0.09,7.55e+02,3.04e+02,7.13e-16
22,B2306+55,J2308+5547,48717.00,108.729,-4.206,-10.614,6.621,0.475068,48717.00,-1.80,2.42,-0.18,7.16e+02,1.11e+01,1.99e-16
23,B0626+24,J0629+2415,49438.00,188.817,6.223,-5.295,-4.908,0.476623,49438.00,-1.80,4.67,0.51,6.76e+02,6.98e+01,2.00e-15
24,B0611+22,J0614+2229,49674.00,188.785,2.400,0.400,-4.597,0.334960,49674.00,-2.10,4.74,0.20,6.52e+02,4.94e+01,5.94e-14
25,B1718-02,J1720-0212,49429.00,20.134,18.936,-20.715,-10.864,0.477715,49429.00,-2.20,5.41,1.76,6.44e+02,2.93e+01,7.85e-17
26,B2324+60,J2326+6113,49678.00,112.946,0.003,17.798,-7.306,0.233652,49678.00,-1.10,4.82,0.00,6.34e+02,1.02e+02,3.52e-16
27,B1718-32,J1722-3207,49894.00,354.561,2.525,-32.670,-21.446,0.477158,49894.00,-2.20,3.18,0.14,6.17e+02,3.44e+01,6.40e-16
28,J0218+4232,J0218+4232,55849.10,139.508,-17.527,6.935,-0.569,0.002323,50864.00,-2.10,3.15,-0.95,5.73e+02,8.93e+00,7.66e-20
29,B1737+13,J1740+1311,48262.00,37.085,21.679,-23.353,13.028,0.803050,48262.00,-1.40,4.77,1.76,5.46e+02,8.87e+01,1.44e-15
30,B2148+52,J2150+5247,49693.00,97.521,-0.915,-8.940,0.263,0.332206,49693.00,-1.30,5.67,-0.09,5.02e+02,6.43e+01,1.01e-14
31,B0353+52,J0357+5236,49912.00,149.099,-0.522,-7.638,1.014,0.197030,49912.00,-1.50,4.73,-0.04,4.83e+02,4.25e+01,4.76e-16
32,B1902-01,J1905-0056,49721.00,33.690,-3.551,-4.935,2.401,0.643181,49721.00,-2.00,6.91,-0.43,4.68e+02,4.39e+01,3.05e-15
33,B1800-21,J1803-2137,51544.00,8.395,0.146,19.391,-2.494,0.133667,53900.00,-0.10,4.40,0.01,4.45e+02,1.47e+02,1.34e-13
34,B2303+30,J2305+3100,48714.00,97.721,-26.657,-3.397,-17.643,1.575886,48714.00,-2.30,3.92,-1.76,3.69e+02,3.38e+01,2.89e-15
35,B0818-13,J0820-1350,52275.00,235.890,12.595,48.194,-1.261,1.238130,48904.00,-2.20,1.90,0.41,3.68e+02,2.53e+01,2.09e-15
36,B0540+23,J0543+2329,48892.00,184.363,-3.318,-0.849,22.829,0.245975,48892.00,-0.70,3.54,-0.20,3.63e+02,1.13e+02,1.54e-14
37,B0136+57,J0139+5814,52275.00,129.216,-4.044,-14.295,-19.101,0.272451,49289.00,-1.30,2.60,-0.18,3.56e+02,3.11e+01,1.07e-14
38,B1732-07,J1735-0724,49887.00,17.271,13.284,24.604,16.977,0.419335,49887.00,-1.80,4.32,0.99,3.36e+02,3.17e+01,1.21e-15
39,B2020+28,J2022+2854,49692.00,68.863,-4.671,-17.008,-9.088,0.343402,49692.00,-0.40,2.10,-0.17,3.13e+02,1.68e+02,1.89e-15
40,B0525+21,J0528+2200,53100.00,183.856,-6.896,-17.652,-12.480,3.745539,54200.00,-1.50,2.28,-0.27,2.96e+02,4.68e+01,4.00e-14
41,B2043-04,J2046-0421,48739.00,42.678,-27.387,1.823,-11.803,1.546938,48739.00,-2.00,3.83,-1.76,2.93e+02,2.49e+01,1.47e-15
42,B1937-26,J1941-2602,50076.00,13.901,-21.824,-3.922,-15.122,0.402858,50076.00,-0.90,4.74,-1.76,2.92e+02,6.74e+01,9.55e-16
43,B1924+16,J1926+1648,49857.00,51.859,0.063,9.590,-15.990,0.579823,49857.00,-1.50,6.00,0.01,2.88e+02,4.68e+01,1.80e-14
44,B1039-19,J1041-1942,48738.00,265.591,33.590,-4.020,12.227,1.386368,48738.00,-1.40,3.18,1.76,2.83e+02,4.04e+01,9.43e-16
45,B1829-08,J1832-0827,49442.00,23.272,0.298,18.923,13.079,0.647293,49442.00,-0.80,5.20,0.03,2.54e+02,5.68e+01,6.39e-14
46,B2217+47,J2219+4754,46599.00,98.385,-7.598,-22.554,-17.524,0.538469,46599.00,-2.80,2.45,-0.32,2.52e+02,1.80e+01,2.76e-15
47,B2021+51,J2022+5154,46640.00,87.862,8.380,11.039,11.329,0.529197,46640.00,-0.70,1.80,0.26,2.49e+02,8.75e+01,3.06e-15
48,B1913+16,J1915+1606,52984.00,49.968,2.122,4.632,1.180,0.059030,52984.00,-1.40,7.13,0.26,2.03e+02,4.58e+01,8.63e-18
49,B0114+58,J0117+5914,49751.00,126.283,-3.457,10.405,16.959,0.101439,49751.00,-2.40,2.14,-0.13,1.99e+02,1.37e+00,5.85e-15
50,B2113+14,J2116+1414,48471.00,64.464,-23.409,1.370,-12.963,0.440153,48471.00,-1.90,4.43,-1.76,1.77e+02,1.57e+01,2.88e-16
51,B1917+00,J1919+0021,49427.00,36.506,-6.151,1.687,1.501,1.272260,49427.00,-2.30,3.32,-0.36,1.76e+02,8.82e+00,7.67e-15
52,B1508+55,J1509+5531,52275.00,91.325,52.287,-7.494,95.522,0.739682,49904.00,-2.30,2.10,1.66,1.73e+02,3.53e+01,4.96e-15
53,B1943-29,J1946-2913,48736.00,11.108,-24.121,-24.225,-28.784,0.959448,48736.00,-2.00,4.31,-1.76,1.73e+02,1.49e+01,1.47e-15
54,B1839+56,J1840+5640,48717.00,86.079,23.818,-23.438,24.380,1.652862,48717.00,-1.40,1.70,0.69,1.67e+02,1.16e+01,1.49e-15
55,B1914+09,J1916+0951,49910.00,44.556,-1.019,10.471,5.058,0.270254,49910.00,-2.30,2.88,-0.05,1.66e+02,7.55e+00,2.52e-15
56,B2351+61,J2354+6155,49405.00,116.239,-0.194,25.369,1.452,0.944784,49405.00,-1.10,3.31,-0.01,1.65e+02,5.48e+01,1.63e-14
57,B2224+65,J2225+6535,53880.00,108.637,6.846,184.618,18.667,0.682542,54420.00,-1.80,2.00,0.24,1.42e+02,8.00e+00,9.55e-15
58,B0148-06,J0151-0635,49347.00,160.368,-65.004,27.734,-16.559,1.464665,49347.00,-2.70,1.93,-1.75,1.42e+02,4.84e+00,4.35e-16
59,B0402+61,J0406+6138,53784.00,144.025,7.046,39.610,53.847,0.594576,53784.00,-1.40,3.05,0.37,1.40e+02,2.60e+01,5.55e-15
60,B1904+06,J1906+0641,49613.00,40.604,-0.304,8.057,2.998,0.267275,49613.00,-0.94,7.00,-0.04,1.37e+02,8.33e+01,2.14e-15
61,B1911+13,J1913+1400,49910.00,47.882,1.592,16.627,-3.874,0.521473,49910.00,-1.40,5.07,0.14,1.34e+02,3.08e+01,8.02e-16
62,B0751+32,J0754+3231,48725.00,188.187,26.721,-8.276,-1.031,1.442349,48725.00,-2.10,3.92,1.76,1.23e+02,9.22e+00,1.08e-15
63,B0756-15,J0758-1528,49896.00,234.464,7.224,-0.305,3.696,0.682265,49896.00,-1.60,3.72,0.47,1.13e+02,2.77e+01,1.62e-15
64,B0037+56,J0040+5716,49667.00,121.452,-5.567,-6.040,-1.536,1.118225,49667.00,-1.80,4.48,-0.43,1.00e+02,1.20e+01,2.88e-15
65,B1842+14,J1844+1454,49362.00,45.557,8.149,40.296,28.696,0.375463,49362.00,-2.10,2.23,0.32,9.95e+01,7.46e+00,1.87e-15
66,B1953+50,J1955+5059,48741.00,84.793,11.553,40.457,46.904,0.518938,48741.00,-1.50,1.80,0.36,8.42e+01,1.30e+01,1.36e-15
67,J1911-1114,J1911-1114,50458.00,25.137,-9.579,-21.256,-3.905,0.003626,50458.00,-2.30,1.59,-0.26,7.84e+01,1.26e+00,6.25e-21
68,B2044+15,J2046+1540,48742.00,61.112,-16.838,-0.408,12.661,1.138286,48742.00,-1.70,2.56,-0.74,7.54e+01,1.11e+01,1.81e-16
69,B1620-26,J1623-2631,48725.00,350.976,15.960,-26.174,-6.771,0.011076,48725.00,-2.20,2.20,0.60,7.26e+01,7.74e+00,6.23e-19
70,B1821+05,J1823+0550,48713.00,34.987,8.859,3.272,-4.409,0.752907,48713.00,-1.70,2.00,0.31,7.20e+01,6.80e+00,2.27e-16
71,B1905+39,J1907+4002,48713.00,70.948,14.203,19.109,-4.929,1.235757,48713.00,-2.00,1.76,0.43,7.12e+01,5.58e+00,5.39e-16
72,B1838-04,J1841-0425,53900.00,27.818,0.279,11.498,-9.742,0.186149,53900.00,-0.40,5.17,0.03,6.95e+01,6.95e+01,6.39e-15
73,B0643+80,J0653+8051,48712.00,133.178,26.828,3.408,18.241,1.214441,48712.00,-2.10,3.37,1.52,6.93e+01,4.54e+00,3.80e-15
74,J2317+1439,J2317+1439,49300.00,91.361,-42.360,5.066,8.933,0.003445,49300.00,-1.20,1.89,-1.27,6.79e+01,1.43e+01,1.51e-21
75,B1951+32,J1952+3252,52793.00,68.765,2.823,-22.137,17.713,0.039531,49845.00,-1.60,3.00,0.15,6.30e+01,9.00e+00,5.84e-15
76,B2334+61,J2337+6151,53100.00,114.284,0.233,-2.478,-13.522,0.495370,54521.00,-1.70,2.47,0.01,6.10e+01,8.54e+00,1.93e-13
77,B1848+13,J1850+1335,49722.00,44.990,6.339,16.837,9.480,0.345582,49722.00,-1.40,3.14,0.35,5.92e+01,6.41e+00,1.49e-15
78,J1603-7202,J1603-7202,53024.00,316.630,-14.496,-1.971,-2.132,0.014842,53024.00,-1.80,1.64,-0.41,5.65e+01,8.34e+00,1.20e-20
79,B1935+25,J1937+2544,49703.00,60.836,2.270,19.640,-6.987,0.200980,49703.00,-0.70,2.76,0.11,5.03e+01,1.75e+01,6.42e-16
80,B0011+47,J0014+4746,49664.00,116.497,-14.631,18.406,-20.843,1.240699,49664.00,-1.30,1.82,-0.46,4.64e+01,9.94e+00,5.60e-16
82,B0458+46,J0502+4654,48717.00,160.363,3.077,-12.277,-0.677,0.638565,48717.00,-1.30,1.78,0.10,3.45e+01,7.92e+00,5.58e-15
83,B0331+45,J0335+4555,49912.00,150.348,-8.038,9.353,-1.339,0.269201,49912.00,-1.90,2.08,-0.29,2.60e+01,3.46e+00,7.29e-18
84,B0144+59,J0147+5922,53160.00,130.059,-2.723,12.076,3.817,0.196321,54011.00,-1.00,1.91,-0.09,2.41e+01,7.66e+00,2.57e-16
85,B0940+16,J0943+1631,48865.00,216.609,45.380,1.149,27.669,1.087418,48865.00,-1.20,1.76,1.25,2.17e+01,4.34e+00,8.82e-17
86,B2022+50,J2023+5037,49910.00,86.863,7.544,-11.184,18.606,0.372619,49910.00,-0.80,1.80,0.24,2.11e+01,7.13e+00,2.51e-15
87,B0410+69,J0415+6954,49874.00,138.911,13.667,-3.176,-11.222,0.390715,49874.00,-2.20,1.57,0.37,1.65e+01,1.23e+00,7.64e-17
88,J1745-0952,J1745-0952,53200.00,16.371,9.895,0.281,24.623,0.019376,53200.00,-1.14,2.38,0.41,1.02e+01,2.15e+00,2.85e-20